"","antorbital","articular/anguloarticular","ascending process of the parasphenoid","basibranchial 4 tooth","basibranchial 4 tooth plate","basibranchial tooth plate","basihyal tooth","basihyal tooth plate","caudal-fin hook","caudal-fin stay","entopterygoid vertical strut","extrascapula","infraorbital 1","infraorbital 3","infraorbital 4","infraorbital 5","infraorbital 6","mandibular symphyseal tooth","nasal bone","palatine bone","pharyngobranchial 2 tooth","pharyngobranchial 2 tooth plate","pharyngobranchial 3 tooth","postcleithrum 1","postcleithrum 2","postcleithrum 3","posttemporal","premaxilla ascending process","procumbent dorsal fin spine","supramaxilla","supraorbital bone","suprapreopercle","upper pharyngeal 4 tooth","upper pharyngeal 5 tooth","upper pharyngeal tooth","urohyal lateral process"
"antorbital",1,0.761194029850746,0.565714285714286,0.420814479638009,0.795275590551181,0.72972972972973,0.854700854700855,0.847457627118644,0.847457627118644,0.704545454545455,0.624,0.854700854700855,0.340425531914894,0.847457627118644,0.847457627118644,0.342857142857143,0.704347826086957,0.395939086294416,0.698275862068966,0.393939393939394,0.393939393939394,0.395939086294416,0.38659793814433,0.393939393939394,0.710526315789474,0.710526315789474,0.397959183673469,0.847457627118644,0.65546218487395,0.276422764227642,0.619047619047619,0.619047619047619,0.619047619047619,0.234848484848485,0.617647058823529,0.607692307692308
"articular/anguloarticular",0.761194029850746,1,0.620111731843575,0.460176991150442,0.921259842519685,0.637795275590551,0.75187969924812,0.746268656716418,0.746268656716418,0.628378378378378,0.553191489361702,0.75187969924812,0.443661971830986,0.746268656716418,0.746268656716418,0.426573426573427,0.630769230769231,0.372641509433962,0.625954198473282,0.370892018779343,0.370892018779343,0.372641509433962,0.357142857142857,0.370892018779343,0.635658914728682,0.635658914728682,0.374407582938389,0.746268656716418,0.577777777777778,0.253623188405797,0.549295774647887,0.549295774647887,0.549295774647887,0.209459459459459,0.583892617449664,0.541095890410959
"ascending process of the parasphenoid",0.565714285714286,0.620111731843575,1,0.579399141630901,0.649122807017544,0.473053892215569,0.566473988439306,0.563218390804598,0.563218390804598,0.484042553191489,0.435754189944134,0.566473988439306,0.299465240641711,0.563218390804598,0.563218390804598,0.301075268817204,0.470588235294118,0.48868778280543,0.467836257309941,0.486486486486487,0.486486486486487,0.48868778280543,0.488479262672811,0.486486486486487,0.473372781065089,0.473372781065089,0.490909090909091,0.563218390804598,0.450867052023121,0.17877094972067,0.433333333333333,0.433333333333333,0.433333333333333,0.166666666666667,0.427083333333333,0.429347826086957
"basibranchial 4 tooth",0.420814479638009,0.460176991150442,0.579399141630901,1,0.477064220183486,0.361904761904762,0.426605504587156,0.424657534246575,0.424657534246575,0.375,0.331838565022422,0.426605504587156,0.316279069767442,0.424657534246575,0.424657534246575,0.317757009345794,0.355140186915888,0.757142857142857,0.353488372093023,0.753554502369668,0.753554502369668,0.757142857142857,0.753623188405797,0.753554502369668,0.356807511737089,0.356807511737089,0.760765550239234,0.424657534246575,0.334862385321101,0.183962264150943,0.330357142857143,0.330357142857143,0.330357142857143,0.16289592760181,0.395555555555556,0.323144104803493
"basibranchial 4 tooth plate",0.795275590551181,0.921259842519685,0.649122807017544,0.477064220183486,1,0.680672268907563,0.8,0.793650793650794,0.793650793650794,0.664285714285714,0.586466165413534,0.8,0.448529411764706,0.793650793650794,0.793650793650794,0.451851851851852,0.658536585365854,0.380487804878049,0.653225806451613,0.378640776699029,0.378640776699029,0.380487804878049,0.371287128712871,0.378640776699029,0.663934426229508,0.663934426229508,0.382352941176471,0.793650793650794,0.614173228346457,0.259541984732824,0.582089552238806,0.582089552238806,0.582089552238806,0.221428571428571,0.583333333333333,0.572463768115942
"basibranchial tooth plate",0.72972972972973,0.637795275590551,0.473053892215569,0.361904761904762,0.680672268907563,1,0.75,0.743119266055046,0.743119266055046,0.698275862068966,0.785714285714286,0.75,0.238461538461538,0.743119266055046,0.743119266055046,0.24031007751938,0.909090909090909,0.436046511627907,0.898876404494382,0.433526011560694,0.433526011560694,0.436046511627907,0.42603550295858,0.433526011560694,0.919540229885057,0.919540229885057,0.43859649122807,0.743119266055046,0.83695652173913,0.316326530612245,0.777777777777778,0.777777777777778,0.777777777777778,0.25,0.6,0.740384615384615
"basihyal tooth",0.854700854700855,0.75187969924812,0.566473988439306,0.426605504587156,0.8,0.75,1,0.972477064220184,0.972477064220184,0.734375,0.652892561983471,0.981481481481482,0.338129496402878,0.972477064220184,0.972477064220184,0.340579710144928,0.723214285714286,0.394871794871795,0.716814159292035,0.392857142857143,0.392857142857143,0.394871794871795,0.385416666666667,0.392857142857143,0.72972972972973,0.72972972972973,0.396907216494845,0.972477064220184,0.672413793103448,0.272727272727273,0.647540983606557,0.647540983606557,0.647540983606557,0.230769230769231,0.619402985074627,0.622047244094488
"basihyal tooth plate",0.847457627118644,0.746268656716418,0.563218390804598,0.424657534246575,0.793650793650794,0.743119266055046,0.972477064220184,1,0.981651376146789,0.728682170542636,0.647540983606557,0.972477064220184,0.335714285714286,0.981651376146789,0.981651376146789,0.338129496402878,0.716814159292035,0.392857142857143,0.710526315789474,0.390862944162437,0.390862944162437,0.392857142857143,0.383419689119171,0.390862944162437,0.723214285714286,0.723214285714286,0.394871794871795,0.981651376146789,0.666666666666667,0.270491803278689,0.642276422764228,0.642276422764228,0.642276422764228,0.229007633587786,0.614814814814815,0.6171875
"caudal-fin hook",0.847457627118644,0.746268656716418,0.563218390804598,0.424657534246575,0.793650793650794,0.743119266055046,0.972477064220184,0.981651376146789,1,0.728682170542636,0.647540983606557,0.972477064220184,0.335714285714286,0.981651376146789,0.981651376146789,0.338129496402878,0.716814159292035,0.392857142857143,0.710526315789474,0.390862944162437,0.390862944162437,0.392857142857143,0.383419689119171,0.390862944162437,0.723214285714286,0.723214285714286,0.394871794871795,0.981651376146789,0.666666666666667,0.270491803278689,0.642276422764228,0.642276422764228,0.642276422764228,0.229007633587786,0.614814814814815,0.6171875
"caudal-fin stay",0.704545454545455,0.628378378378378,0.484042553191489,0.375,0.664285714285714,0.698275862068966,0.734375,0.728682170542636,0.728682170542636,1,0.793103448275862,0.734375,0.26797385620915,0.728682170542636,0.728682170542636,0.269736842105263,0.675,0.372549019607843,0.669421487603306,0.370731707317073,0.370731707317073,0.372549019607843,0.36318407960199,0.370731707317073,0.680672268907563,0.680672268907563,0.374384236453202,0.728682170542636,0.629032258064516,0.246153846153846,0.786324786324786,0.786324786324786,0.786324786324786,0.20863309352518,0.618705035971223,0.585185185185185
"entopterygoid vertical strut",0.624,0.553191489361702,0.435754189944134,0.331838565022422,0.586466165413534,0.785714285714286,0.652892561983471,0.647540983606557,0.647540983606557,0.793103448275862,1,0.652892561983471,0.194444444444444,0.647540983606557,0.647540983606557,0.195804195804196,0.754901960784314,0.387096774193548,0.747572815533981,0.385026737967914,0.385026737967914,0.387096774193548,0.4,0.385026737967914,0.762376237623762,0.762376237623762,0.389189189189189,0.647540983606557,0.764705882352941,0.238938053097345,0.968421052631579,0.968421052631579,0.968421052631579,0.23728813559322,0.514925373134328,0.684210526315789
"extrascapula",0.854700854700855,0.75187969924812,0.566473988439306,0.426605504587156,0.8,0.75,0.981481481481482,0.972477064220184,0.972477064220184,0.734375,0.652892561983471,1,0.338129496402878,0.972477064220184,0.972477064220184,0.340579710144928,0.723214285714286,0.394871794871795,0.716814159292035,0.392857142857143,0.392857142857143,0.394871794871795,0.385416666666667,0.392857142857143,0.72972972972973,0.72972972972973,0.396907216494845,0.972477064220184,0.672413793103448,0.272727272727273,0.647540983606557,0.647540983606557,0.647540983606557,0.230769230769231,0.619402985074627,0.622047244094488
"infraorbital 1",0.340425531914894,0.443661971830986,0.299465240641711,0.316279069767442,0.448529411764706,0.238461538461538,0.338129496402878,0.335714285714286,0.335714285714286,0.26797385620915,0.194444444444444,0.338129496402878,1,0.335714285714286,0.335714285714286,0.914634146341463,0.240601503759398,0.190243902439024,0.238805970149254,0.189320388349515,0.189320388349515,0.190243902439024,0.172413793103448,0.189320388349515,0.242424242424242,0.242424242424242,0.191176470588235,0.335714285714286,0.202898550724638,0.518072289156627,0.193103448275862,0.193103448275862,0.193103448275862,0.419354838709677,0.389705882352941,0.194630872483221
"infraorbital 3",0.847457627118644,0.746268656716418,0.563218390804598,0.424657534246575,0.793650793650794,0.743119266055046,0.972477064220184,0.981651376146789,0.981651376146789,0.728682170542636,0.647540983606557,0.972477064220184,0.335714285714286,1,0.981651376146789,0.338129496402878,0.716814159292035,0.392857142857143,0.710526315789474,0.390862944162437,0.390862944162437,0.392857142857143,0.383419689119171,0.390862944162437,0.723214285714286,0.723214285714286,0.394871794871795,0.981651376146789,0.666666666666667,0.270491803278689,0.642276422764228,0.642276422764228,0.642276422764228,0.229007633587786,0.614814814814815,0.6171875
"infraorbital 4",0.847457627118644,0.746268656716418,0.563218390804598,0.424657534246575,0.793650793650794,0.743119266055046,0.972477064220184,0.981651376146789,0.981651376146789,0.728682170542636,0.647540983606557,0.972477064220184,0.335714285714286,0.981651376146789,1,0.338129496402878,0.716814159292035,0.392857142857143,0.710526315789474,0.390862944162437,0.390862944162437,0.392857142857143,0.383419689119171,0.390862944162437,0.723214285714286,0.723214285714286,0.394871794871795,0.981651376146789,0.666666666666667,0.270491803278689,0.642276422764228,0.642276422764228,0.642276422764228,0.229007633587786,0.614814814814815,0.6171875
"infraorbital 5",0.342857142857143,0.426573426573427,0.301075268817204,0.317757009345794,0.451851851851852,0.24031007751938,0.340579710144928,0.338129496402878,0.338129496402878,0.269736842105263,0.195804195804196,0.340579710144928,0.914634146341463,0.338129496402878,0.338129496402878,1,0.233082706766917,0.185365853658537,0.23134328358209,0.184466019417476,0.184466019417476,0.185365853658537,0.173267326732673,0.184466019417476,0.234848484848485,0.234848484848485,0.186274509803922,0.338129496402878,0.204379562043796,0.506024096385542,0.194444444444444,0.194444444444444,0.194444444444444,0.423913043478261,0.402985074626866,0.195945945945946
"infraorbital 6",0.704347826086957,0.630769230769231,0.470588235294118,0.355140186915888,0.658536585365854,0.909090909090909,0.723214285714286,0.716814159292035,0.716814159292035,0.675,0.754901960784314,0.723214285714286,0.240601503759398,0.716814159292035,0.716814159292035,0.233082706766917,1,0.459302325581395,0.922222222222222,0.44,0.44,0.442528735632184,0.424418604651163,0.44,0.943181818181818,0.943181818181818,0.445086705202312,0.716814159292035,0.802083333333333,0.343434343434343,0.747572815533981,0.747572815533981,0.747572815533981,0.252252252252252,0.580645161290323,0.728971962616822
"mandibular symphyseal tooth",0.395939086294416,0.372641509433962,0.48868778280543,0.757142857142857,0.380487804878049,0.436046511627907,0.394871794871795,0.392857142857143,0.392857142857143,0.372549019607843,0.387096774193548,0.394871794871795,0.190243902439024,0.392857142857143,0.392857142857143,0.185365853658537,0.459302325581395,1,0.44,0.947058823529412,0.947058823529412,0.952662721893491,0.940119760479042,0.947058823529412,0.445086705202312,0.445086705202312,0.958333333333333,0.392857142857143,0.4,0.239766081871345,0.385026737967914,0.385026737967914,0.385026737967914,0.191256830601093,0.388888888888889,0.382198952879581
"nasal bone",0.698275862068966,0.625954198473282,0.467836257309941,0.353488372093023,0.653225806451613,0.898876404494382,0.716814159292035,0.710526315789474,0.710526315789474,0.669421487603306,0.747572815533981,0.716814159292035,0.238805970149254,0.710526315789474,0.710526315789474,0.23134328358209,0.922222222222222,0.44,1,0.454022988505747,0.445714285714286,0.448275862068966,0.421965317919075,0.445714285714286,0.954545454545455,0.954545454545455,0.450867052023121,0.710526315789474,0.793814432989691,0.313725490196078,0.740384615384615,0.740384615384615,0.740384615384615,0.25,0.576,0.722222222222222
"palatine bone",0.393939393939394,0.370892018779343,0.486486486486487,0.753554502369668,0.378640776699029,0.433526011560694,0.392857142857143,0.390862944162437,0.390862944162437,0.370731707317073,0.385026737967914,0.392857142857143,0.189320388349515,0.390862944162437,0.390862944162437,0.184466019417476,0.44,0.947058823529412,0.454022988505747,1,0.964497041420118,0.958579881656805,0.93452380952381,0.952941176470588,0.450867052023121,0.450867052023121,0.964285714285714,0.390862944162437,0.397790055248619,0.224137931034483,0.382978723404255,0.382978723404255,0.382978723404255,0.190217391304348,0.386934673366834,0.380208333333333
"pharyngobranchial 2 tooth",0.393939393939394,0.370892018779343,0.486486486486487,0.753554502369668,0.378640776699029,0.433526011560694,0.392857142857143,0.390862944162437,0.390862944162437,0.370731707317073,0.385026737967914,0.392857142857143,0.189320388349515,0.390862944162437,0.390862944162437,0.184466019417476,0.44,0.947058823529412,0.445714285714286,0.964497041420118,1,0.958579881656805,0.93452380952381,0.952941176470588,0.450867052023121,0.450867052023121,0.964285714285714,0.390862944162437,0.397790055248619,0.224137931034483,0.382978723404255,0.382978723404255,0.382978723404255,0.190217391304348,0.386934673366834,0.380208333333333
"pharyngobranchial 2 tooth plate",0.395939086294416,0.372641509433962,0.48868778280543,0.757142857142857,0.380487804878049,0.436046511627907,0.394871794871795,0.392857142857143,0.392857142857143,0.372549019607843,0.387096774193548,0.394871794871795,0.190243902439024,0.392857142857143,0.392857142857143,0.185365853658537,0.442528735632184,0.952662721893491,0.448275862068966,0.958579881656805,0.958579881656805,1,0.940119760479042,0.970238095238095,0.453488372093023,0.453488372093023,0.970059880239521,0.392857142857143,0.4,0.225433526011561,0.385026737967914,0.385026737967914,0.385026737967914,0.191256830601093,0.388888888888889,0.382198952879581
"pharyngobranchial 3 tooth",0.38659793814433,0.357142857142857,0.488479262672811,0.753623188405797,0.371287128712871,0.42603550295858,0.385416666666667,0.383419689119171,0.383419689119171,0.36318407960199,0.4,0.385416666666667,0.172413793103448,0.383419689119171,0.383419689119171,0.173267326732673,0.424418604651163,0.940119760479042,0.421965317919075,0.93452380952381,0.93452380952381,0.940119760479042,1,0.93452380952381,0.426900584795322,0.426900584795322,0.94578313253012,0.383419689119171,0.413793103448276,0.204678362573099,0.397790055248619,0.397790055248619,0.397790055248619,0.19774011299435,0.379487179487179,0.394594594594595
"postcleithrum 1",0.393939393939394,0.370892018779343,0.486486486486487,0.753554502369668,0.378640776699029,0.433526011560694,0.392857142857143,0.390862944162437,0.390862944162437,0.370731707317073,0.385026737967914,0.392857142857143,0.189320388349515,0.390862944162437,0.390862944162437,0.184466019417476,0.44,0.947058823529412,0.445714285714286,0.952941176470588,0.952941176470588,0.970238095238095,0.93452380952381,1,0.450867052023121,0.450867052023121,0.964285714285714,0.390862944162437,0.397790055248619,0.224137931034483,0.382978723404255,0.382978723404255,0.382978723404255,0.190217391304348,0.386934673366834,0.380208333333333
"postcleithrum 2",0.710526315789474,0.635658914728682,0.473372781065089,0.356807511737089,0.663934426229508,0.919540229885057,0.72972972972973,0.723214285714286,0.723214285714286,0.680672268907563,0.762376237623762,0.72972972972973,0.242424242424242,0.723214285714286,0.723214285714286,0.234848484848485,0.943181818181818,0.445086705202312,0.954545454545455,0.450867052023121,0.450867052023121,0.453488372093023,0.426900584795322,0.450867052023121,1,0.976744186046512,0.456140350877193,0.723214285714286,0.810526315789474,0.32,0.754901960784314,0.754901960784314,0.754901960784314,0.254545454545455,0.585365853658537,0.735849056603774
"postcleithrum 3",0.710526315789474,0.635658914728682,0.473372781065089,0.356807511737089,0.663934426229508,0.919540229885057,0.72972972972973,0.723214285714286,0.723214285714286,0.680672268907563,0.762376237623762,0.72972972972973,0.242424242424242,0.723214285714286,0.723214285714286,0.234848484848485,0.943181818181818,0.445086705202312,0.954545454545455,0.450867052023121,0.450867052023121,0.453488372093023,0.426900584795322,0.450867052023121,0.976744186046512,1,0.456140350877193,0.723214285714286,0.810526315789474,0.32,0.754901960784314,0.754901960784314,0.754901960784314,0.254545454545455,0.585365853658537,0.735849056603774
"posttemporal",0.397959183673469,0.374407582938389,0.490909090909091,0.760765550239234,0.382352941176471,0.43859649122807,0.396907216494845,0.394871794871795,0.394871794871795,0.374384236453202,0.389189189189189,0.396907216494845,0.191176470588235,0.394871794871795,0.394871794871795,0.186274509803922,0.445086705202312,0.958333333333333,0.450867052023121,0.964285714285714,0.964285714285714,0.970059880239521,0.94578313253012,0.964285714285714,0.456140350877193,0.456140350877193,1,0.394871794871795,0.402234636871508,0.226744186046512,0.387096774193548,0.387096774193548,0.387096774193548,0.192307692307692,0.390862944162437,0.384210526315789
"premaxilla ascending process",0.847457627118644,0.746268656716418,0.563218390804598,0.424657534246575,0.793650793650794,0.743119266055046,0.972477064220184,0.981651376146789,0.981651376146789,0.728682170542636,0.647540983606557,0.972477064220184,0.335714285714286,0.981651376146789,0.981651376146789,0.338129496402878,0.716814159292035,0.392857142857143,0.710526315789474,0.390862944162437,0.390862944162437,0.392857142857143,0.383419689119171,0.390862944162437,0.723214285714286,0.723214285714286,0.394871794871795,1,0.666666666666667,0.270491803278689,0.642276422764228,0.642276422764228,0.642276422764228,0.229007633587786,0.614814814814815,0.6171875
"procumbent dorsal fin spine",0.65546218487395,0.577777777777778,0.450867052023121,0.334862385321101,0.614173228346457,0.83695652173913,0.672413793103448,0.666666666666667,0.666666666666667,0.629032258064516,0.764705882352941,0.672413793103448,0.202898550724638,0.666666666666667,0.666666666666667,0.204379562043796,0.802083333333333,0.4,0.793814432989691,0.397790055248619,0.397790055248619,0.4,0.413793103448276,0.397790055248619,0.810526315789474,0.810526315789474,0.402234636871508,0.666666666666667,1,0.252336448598131,0.757281553398058,0.757281553398058,0.757281553398058,0.333333333333333,0.5390625,0.823529411764706
"supramaxilla",0.276422764227642,0.253623188405797,0.17877094972067,0.183962264150943,0.259541984732824,0.316326530612245,0.272727272727273,0.270491803278689,0.270491803278689,0.246153846153846,0.238938053097345,0.272727272727273,0.518072289156627,0.270491803278689,0.270491803278689,0.506024096385542,0.343434343434343,0.239766081871345,0.313725490196078,0.224137931034483,0.224137931034483,0.225433526011561,0.204678362573099,0.224137931034483,0.32,0.32,0.226744186046512,0.270491803278689,0.252336448598131,1,0.236842105263158,0.236842105263158,0.236842105263158,0.612903225806452,0.365217391304348,0.23728813559322
"supraorbital bone",0.619047619047619,0.549295774647887,0.433333333333333,0.330357142857143,0.582089552238806,0.777777777777778,0.647540983606557,0.642276422764228,0.642276422764228,0.786324786324786,0.968421052631579,0.647540983606557,0.193103448275862,0.642276422764228,0.642276422764228,0.194444444444444,0.747572815533981,0.385026737967914,0.740384615384615,0.382978723404255,0.382978723404255,0.385026737967914,0.397790055248619,0.382978723404255,0.754901960784314,0.754901960784314,0.387096774193548,0.642276422764228,0.757281553398058,0.236842105263158,1,0.978947368421053,0.978947368421053,0.235294117647059,0.511111111111111,0.678260869565217
"suprapreopercle",0.619047619047619,0.549295774647887,0.433333333333333,0.330357142857143,0.582089552238806,0.777777777777778,0.647540983606557,0.642276422764228,0.642276422764228,0.786324786324786,0.968421052631579,0.647540983606557,0.193103448275862,0.642276422764228,0.642276422764228,0.194444444444444,0.747572815533981,0.385026737967914,0.740384615384615,0.382978723404255,0.382978723404255,0.385026737967914,0.397790055248619,0.382978723404255,0.754901960784314,0.754901960784314,0.387096774193548,0.642276422764228,0.757281553398058,0.236842105263158,0.978947368421053,1,0.978947368421053,0.235294117647059,0.511111111111111,0.678260869565217
"upper pharyngeal 4 tooth",0.619047619047619,0.549295774647887,0.433333333333333,0.330357142857143,0.582089552238806,0.777777777777778,0.647540983606557,0.642276422764228,0.642276422764228,0.786324786324786,0.968421052631579,0.647540983606557,0.193103448275862,0.642276422764228,0.642276422764228,0.194444444444444,0.747572815533981,0.385026737967914,0.740384615384615,0.382978723404255,0.382978723404255,0.385026737967914,0.397790055248619,0.382978723404255,0.754901960784314,0.754901960784314,0.387096774193548,0.642276422764228,0.757281553398058,0.236842105263158,0.978947368421053,0.978947368421053,1,0.235294117647059,0.511111111111111,0.678260869565217
"upper pharyngeal 5 tooth",0.234848484848485,0.209459459459459,0.166666666666667,0.16289592760181,0.221428571428571,0.25,0.230769230769231,0.229007633587786,0.229007633587786,0.20863309352518,0.23728813559322,0.230769230769231,0.419354838709677,0.229007633587786,0.229007633587786,0.423913043478261,0.252252252252252,0.191256830601093,0.25,0.190217391304348,0.190217391304348,0.191256830601093,0.19774011299435,0.190217391304348,0.254545454545455,0.254545454545455,0.192307692307692,0.229007633587786,0.333333333333333,0.612903225806452,0.235294117647059,0.235294117647059,0.235294117647059,1,0.314516129032258,0.288135593220339
"upper pharyngeal tooth",0.617647058823529,0.583892617449664,0.427083333333333,0.395555555555556,0.583333333333333,0.6,0.619402985074627,0.614814814814815,0.614814814814815,0.618705035971223,0.514925373134328,0.619402985074627,0.389705882352941,0.614814814814815,0.614814814814815,0.402985074626866,0.580645161290323,0.388888888888889,0.576,0.386934673366834,0.386934673366834,0.388888888888889,0.379487179487179,0.386934673366834,0.585365853658537,0.585365853658537,0.390862944162437,0.614814814814815,0.5390625,0.365217391304348,0.511111111111111,0.511111111111111,0.511111111111111,0.314516129032258,1,0.503597122302158
"urohyal lateral process",0.607692307692308,0.541095890410959,0.429347826086957,0.323144104803493,0.572463768115942,0.740384615384615,0.622047244094488,0.6171875,0.6171875,0.585185185185185,0.684210526315789,0.622047244094488,0.194630872483221,0.6171875,0.6171875,0.195945945945946,0.728971962616822,0.382198952879581,0.722222222222222,0.380208333333333,0.380208333333333,0.382198952879581,0.394594594594595,0.380208333333333,0.735849056603774,0.735849056603774,0.384210526315789,0.6171875,0.823529411764706,0.23728813559322,0.678260869565217,0.678260869565217,0.678260869565217,0.288135593220339,0.503597122302158,1
